# x1	x2
-1.48435	-1.85349
-1.45938	-1.87408
-1.43446	-1.89458
-1.40959	-1.915
-1.38477	-1.93534
-1.36	-1.9556
-1.33528	-1.97578
-1.31061	-1.99588
-1.28599	-2.01589
-1.26142	-2.03583
-1.2369	-2.05568
-1.21242	-2.07546
-1.188	-2.09516
-1.16362	-2.11478
-1.13929	-2.13432
-1.11502	-2.15378
-1.09079	-2.17317
-1.0666	-2.19248
-1.04247	-2.21171
-1.01839	-2.23086
-0.994349	-2.24994
-0.970361	-2.26894
-0.94642	-2.28786
-0.922527	-2.30671
-0.898682	-2.32548
-0.874885	-2.34418
-0.851135	-2.3628
-0.827433	-2.38135
-0.803778	-2.39983
-0.78017	-2.41823
-0.75661	-2.43655
-0.733097	-2.45481
-0.70963	-2.47299
-0.686211	-2.4911
-0.662839	-2.50913
-0.639513	-2.5271
-0.616234	-2.54499
-0.593002	-2.56281
-0.569816	-2.58056
-0.546676	-2.59823
-0.523583	-2.61584
-0.500535	-2.63338
-0.477534	-2.65084
-0.454579	-2.66824
-0.43167	-2.68557
-0.408807	-2.70283
-0.385989	-2.72001
-0.363217	-2.73713
-0.340491	-2.75419
-0.31781	-2.77117
-0.295174	-2.78808
-0.272584	-2.80493
-0.250039	-2.82171
-0.227539	-2.83843
-0.205083	-2.85507
-0.182673	-2.87165
-0.160308	-2.88816
-0.137987	-2.90461
-0.115711	-2.92099
-0.0934799	-2.93731
-0.0712929	-2.95356
-0.0491504	-2.96975
-0.0270521	-2.98587
-0.00499796	-3.00192
0.017012	-3.01792
0.038978	-3.03384
0.0609001	-3.04971
0.0827783	-3.06551
0.104613	-3.08125
0.126403	-3.09692
0.148151	-3.11254
0.169854	-3.12809
0.191515	-3.14357
0.213132	-3.159
0.234705	-3.17436
0.256236	-3.18967
0.277723	-3.20491
0.299168	-3.22009
0.32057	-3.23521
0.341929	-3.25027
0.363245	-3.26526
0.384518	-3.2802
0.405749	-3.29508
0.426938	-3.3099
0.448084	-3.32466
0.469188	-3.33936
0.490249	-3.35401
0.511269	-3.36859
0.532246	-3.38312
0.553182	-3.39758
0.574075	-3.41199
0.594927	-3.42635
0.615737	-3.44064
